@relation 'MassHousingTrainData-weka.filters.unsupervised.attribute.Remove-R9,10,20-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.supervised.attribute.AddClassification-classification-distribution-error-Wweka.classifiers.lazy.IBk -K 7 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"-weka.filters.unsupervised.attribute.Remove-R2-6,9-17,19-last'

@attribute rm_key numeric
@attribute Stmt_date {6/30/1995,12/31/1995,12/31/1996,6/30/1997,12/31/1997,6/30/1998,12/31/1998,6/30/1999,12/15/1999,12/31/1999,6/30/2000,12/31/2000,6/30/2001,12/13/2001,12/31/2001,6/30/2002,12/31/2002,6/30/2003,9/30/2003,12/31/2003,6/30/2004,9/30/2004,12/13/2004,12/31/2004,6/30/2005,9/30/2005,12/31/2005,6/30/2006,9/30/2006,12/31/2006,6/30/2007,9/30/2007,12/13/2007,12/31/2007,6/30/2008,9/30/2008,12/31/2008,2/28/2009,6/30/2009,8/31/2009,9/30/2009,12/31/2009}
@attribute 'Financial Rating Letter Grade' {A,B,D,C,F}
@attribute classification {A,B,D,C,F}

@data
0.001949,6/30/1995,A,A
0,12/31/1995,B,B
0,12/31/1996,D,B
0,6/30/1997,C,B
0,12/31/1997,F,B
0,6/30/1998,C,B
0,12/31/1998,D,B
0,6/30/1999,D,B
0.001949,12/15/1999,C,A
0.001949,12/31/1999,D,A
0.001949,12/31/1996,C,A
0.001949,6/30/1997,C,A
0.001949,12/31/1997,C,A
0.001949,6/30/1998,D,A
0.001949,12/31/1995,A,A
0.001949,12/31/1998,A,A
0.001949,6/30/1999,A,A
0.002924,6/30/1995,A,F
0.002924,12/31/1999,A,F
0.002924,12/31/1996,A,F
0.002924,6/30/1997,A,F
0.002924,12/31/1997,D,F
0.002924,6/30/1998,A,F
0.002924,12/31/1995,A,F
0.002924,12/31/1998,A,F
0.002924,6/30/1999,A,F
0.004873,6/30/1995,A,A
0.004873,12/31/1999,A,A
0.004873,12/31/1996,A,A
0.004873,6/30/1997,A,B
0.004873,12/31/1997,A,A
0.004873,6/30/1998,A,B
0.004873,12/31/1995,A,A
0.004873,12/31/1998,A,A
0.004873,6/30/1999,A,A
0.005848,6/30/1995,A,A
0.005848,12/31/1999,A,A
0.005848,12/31/1996,A,A
0.005848,6/30/1997,A,A
0.005848,12/31/1997,A,A
0.005848,6/30/1998,A,A
0.005848,12/31/1995,A,A
0.005848,12/31/1998,A,A
0.005848,6/30/1999,A,A
0.006823,6/30/2000,A,A
0.006823,12/15/1999,A,A
0.006823,6/30/1995,A,A
0.006823,12/31/1999,A,A
0.006823,12/31/1996,A,A
0.006823,6/30/1997,A,A
0.006823,12/31/1997,A,A
0.006823,6/30/1998,A,A
0.006823,12/31/1995,A,A
0.006823,12/31/1998,A,A
0.006823,6/30/1999,A,A
0.007797,12/31/1999,A,A
0.007797,12/31/1996,A,A
0.007797,6/30/1997,A,A
0.007797,12/31/1997,A,A
0.007797,6/30/1998,A,A
0.007797,12/31/1995,A,A
0.007797,12/31/1998,A,A
0.007797,6/30/1999,A,A
0.016569,12/31/1998,A,A
0.016569,6/30/1999,A,A
0.022417,12/31/1996,A,A
0.022417,6/30/1997,A,A
0.022417,12/31/1997,A,A
0.022417,6/30/1998,A,A
0.022417,12/31/1995,A,A
0.022417,12/31/1998,A,A
0.022417,6/30/1999,A,A
0.04386,12/31/1998,A,A
0.04386,6/30/1999,A,A
0.047758,12/31/2000,A,A
0.047758,6/30/2001,A,F
0.047758,12/13/2001,D,F
0.047758,12/31/2001,A,A
0.047758,6/30/2002,A,F
0.047758,12/31/2002,C,A
0.052632,6/30/2001,A,A
0.052632,12/13/2001,B,A
0.052632,12/31/2001,D,A
0.052632,6/30/2002,B,A
0.052632,6/30/1999,D,A
0.061404,12/31/1997,A,A
0.061404,6/30/1998,A,A
0.061404,12/31/1995,A,C
0.061404,12/31/1998,A,A
0.061404,6/30/1999,A,B
0.062378,6/30/2003,A,C
0.062378,9/30/2003,A,A
0.062378,12/31/2003,A,A
0.062378,6/30/2004,A,A
0.062378,9/30/2004,A,A
0.064327,12/31/1997,D,A
0.064327,6/30/1998,A,A
0.064327,12/31/1995,A,A
0.064327,12/31/1998,A,A
0.064327,6/30/1999,A,A
0.072125,12/31/1998,A,A
0.072125,6/30/1999,A,A
0.074074,12/31/1997,A,A
0.074074,6/30/1998,A,A
0.074074,12/31/1995,A,A
0.074074,12/31/1998,A,A
0.074074,6/30/1999,A,A
0.079922,6/30/2001,A,B
0.079922,12/13/2001,D,B
0.079922,12/31/2001,A,A
0.079922,6/30/2002,A,B
0.079922,12/31/2002,A,A
0.089669,12/31/1996,A,A
0.089669,6/30/1997,A,A
0.089669,12/31/1997,A,A
0.089669,6/30/1998,A,A
0.089669,12/31/1995,A,A
0.089669,12/31/1998,A,A
0.089669,6/30/1999,A,A
0.091618,12/31/1995,C,A
0.091618,6/30/1999,A,A
0.11306,6/30/1999,A,A
0.120858,12/31/1999,C,A
0.120858,12/31/1996,A,A
0.120858,6/30/1997,A,A
0.120858,12/31/1997,A,A
0.120858,6/30/1998,A,A
0.120858,12/31/1995,D,A
0.120858,12/31/1998,A,A
0.120858,6/30/1999,A,A
0.124756,12/31/1996,A,A
0.124756,6/30/1997,A,B
0.124756,12/31/1997,A,A
0.124756,6/30/1998,A,B
0.124756,12/31/1995,A,A
0.124756,12/31/1998,A,A
0.124756,6/30/1999,A,B
0.132554,12/13/2004,D,A
0.132554,6/30/2001,B,A
0.132554,12/13/2001,F,A
0.132554,12/31/2001,F,A
0.132554,6/30/2002,B,A
0.132554,12/31/2002,B,A
0.141326,12/31/2001,A,A
0.141326,6/30/2002,A,D
0.141326,12/31/2002,A,A
0.149123,12/13/2001,A,A
0.149123,12/31/2001,A,A
0.149123,6/30/2002,A,A
0.149123,12/31/2002,A,A
0.166667,12/31/1996,A,A
0.166667,6/30/1997,D,A
0.166667,12/31/1997,A,A
0.166667,6/30/1998,A,A
0.166667,12/31/1995,A,A
0.166667,12/31/1998,A,A
0.166667,6/30/1999,A,A
0.181287,12/31/2000,A,A
0.181287,6/30/2001,A,A
0.181287,12/13/2001,A,A
0.181287,12/31/2001,A,A
0.181287,6/30/2002,A,A
0.181287,12/31/2002,A,A
0.182261,6/30/2001,B,F
0.182261,12/13/2001,D,F
0.182261,12/31/2001,C,A
0.182261,6/30/2002,A,F
0.182261,12/31/2002,A,A
0.185185,12/31/1999,A,A
0.185185,12/31/1996,A,A
0.185185,6/30/1997,A,A
0.185185,12/31/1997,A,A
0.185185,6/30/1998,B,A
0.185185,12/31/1995,B,A
0.185185,12/31/1998,B,A
0.185185,6/30/1999,B,A
0.188109,6/30/1997,A,A
0.188109,12/31/1997,A,A
0.188109,6/30/1998,B,A
0.188109,12/31/1995,A,A
0.188109,12/31/1998,A,A
0.188109,6/30/1999,A,A
0.189084,12/31/1996,A,A
0.189084,6/30/1997,A,A
0.189084,12/31/1997,A,A
0.189084,6/30/1998,A,A
0.189084,12/31/1995,A,A
0.189084,12/31/1998,A,A
0.189084,6/30/1999,A,A
0.193957,12/31/2001,A,A
0.193957,6/30/2002,A,A
0.193957,12/31/2002,A,A
0.19883,12/31/2004,A,A
0.19883,6/30/2005,A,A
0.19883,9/30/2005,A,A
0.19883,12/31/2005,A,A
0.19883,6/30/2006,A,A
0.19883,9/30/2006,A,A
0.199805,6/30/1998,A,A
0.199805,12/31/1995,D,A
0.199805,12/31/1998,A,A
0.199805,6/30/1999,A,A
0.201754,12/31/1996,A,A
0.201754,6/30/1997,A,A
0.201754,12/31/1997,B,A
0.201754,6/30/1998,A,A
0.201754,12/31/1995,A,A
0.201754,12/31/1998,A,A
0.201754,6/30/1999,A,A
0.204678,12/31/1997,A,A
0.204678,6/30/1998,A,A
0.204678,12/31/1995,A,C
0.204678,12/31/1998,A,A
0.204678,6/30/1999,A,A
0.208577,12/31/1996,B,A
0.208577,12/31/2004,A,A
0.208577,12/31/1997,A,A
0.208577,9/30/2005,D,A
0.208577,12/31/2005,A,A
0.208577,6/30/2006,A,A
0.208577,9/30/2006,A,A
0.694932,12/31/2006,B,A
0.694932,6/30/2007,B,A
0.694932,9/30/2007,A,A
0.694932,12/13/2007,A,A
0.694932,12/31/2007,A,A
0.694932,6/30/2000,A,A
0.694932,12/15/1999,A,A
0.694932,6/30/1995,B,A
0.694932,12/31/1999,B,A
0.694932,12/31/1996,F,A
0.694932,6/30/1997,F,A
0.694932,12/31/1997,F,A
0.694932,6/30/1998,F,A
0.694932,12/31/1995,C,A
0.694932,12/31/1998,B,A
0.694932,6/30/1999,B,A
0.697856,12/31/2006,B,A
0.697856,6/30/2007,C,A
0.697856,9/30/2007,D,A
0.697856,12/13/2007,B,A
0.697856,12/31/2007,B,A
0.697856,6/30/2000,D,A
0.697856,12/15/1999,D,A
0.697856,6/30/1995,A,A
0.697856,12/31/1999,A,A
0.697856,12/31/1996,A,A
0.697856,6/30/1997,A,A
0.697856,12/31/1997,A,A
0.697856,6/30/1998,A,A
0.697856,12/31/1995,A,A
0.697856,12/31/1998,A,A
0.697856,6/30/1999,A,A
0.69883,12/31/2006,A,A
0.69883,6/30/2007,A,A
0.69883,9/30/2007,A,A
0.69883,12/13/2007,A,A
0.69883,12/31/2007,A,A
0.69883,6/30/2000,A,A
0.69883,12/15/1999,A,A
